size,heuristic,nodes_expanded_mean,nodes_expanded_std,wall_time_total_mean,wall_time_total_std,wall_time_heuristic_mean,wall_time_heuristic_std,path_length_mean,path_length_std,suboptimality_mean,suboptimality_std,violation_rate_mean,violation_rate_std,mean_overestimation_mean,mean_overestimation_std,h_calls_mean,h_calls_std
10,euclidean,15.3,14.739461460241046,0.00018636332824822717,0.00016308009802688779,2.676330041140318e-05,1.9093402075078166e-05,7.533333333333333,4.688454883583962,1.0,0.0,0.0,0.0,0.0,0.0,24.333333333333332,17.27532290897034
10,manhattan,10.8,10.383674188608405,0.00015320332992509314,0.00011530317310938427,1.8240008891249697e-05,1.3219368263218165e-05,7.533333333333333,4.688454883583962,1.0,0.0,0.0,0.0,0.0,0.0,20.233333333333334,13.530765284912833
10,nn,8.466666666666667,6.693967090022092,0.004539679999773657,0.0062975209229311005,0.00435104999536022,0.0062380743134109575,7.533333333333333,4.688454883583962,1.0,0.0,0.9957904577841287,0.006055823548097489,29.593776631592892,4.672198954246353,18.166666666666668,11.086130923391384
50,euclidean,344.93333333333334,253.17173309195007,0.003791890004261661,0.00335827644293622,0.00039417678296251274,0.0003294152328568479,41.03333333333333,17.375137475682042,1.0,0.0,0.0,0.0,0.0,0.0,390.3333333333333,267.8929705650391
50,manhattan,115.1,85.67474580624979,0.001382503330629893,0.0009430773152885837,0.00013559667471172858,8.51296869848787e-05,41.03333333333333,17.375137475682042,1.0,0.0,0.0,0.0,0.0,0.0,173.86666666666667,112.0537842944746
50,nn,155.76666666666668,139.31598500588842,0.05189899999531913,0.05505518144141199,0.048526759915209015,0.05163441735316713,41.03333333333333,17.375137475682042,1.0,0.0,0.6104666666666667,0.19047431419437133,2.4581207300550525,0.986724391661217,213.83333333333334,170.06450770695568
100,euclidean,1426.5666666666666,1122.733323675731,0.011456013338950731,0.009058246285799723,0.0010972365504130254,0.0008299141853745644,79.8,32.59617070803848,1.0,0.0,0.0,0.0,0.0,0.0,1512.8,1152.7307129385094
100,manhattan,451.8666666666667,412.33211700356753,0.004225150004882927,0.004318971491308327,0.0003866699466015781,0.0003807607557118573,79.8,32.59617070803848,1.0,0.0,0.0,0.0,0.0,0.0,647.5333333333333,549.3596104640342
100,nn,2244.3,1546.6693949391313,0.3929337400031121,0.259602113354463,0.36193006619772256,0.2386418065552768,79.8,32.59617070803848,1.0,0.0,0.006066666666666666,0.009958303876260958,0.6572746554695109,0.8506169220136469,2366.3333333333335,1592.5866042240916

metric,value
data_generation_wall_time_s,3.49
training_wall_time_s,176.18
